name,type,id,level,play_cost,evolution_cost,evolution_color,evolution_level,xros_req,color,color2,digi_type,digi_type2,form,dp,attribute,rarity,stage,artist,main_effect,source_effect,alt_effect,series,pretty_url,date_added,tcgplayer_name,tcgplayer_id,set_name
Crest of Courage,Option,BO-100,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,crest-of-courage-bo-100,2024-05-27 15:14:30,,,['Series 2 Booster Pack']
Crest of Reliability,Option,BO-101,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,crest-of-reliability-bo-101,2024-05-27 15:14:30,,,['Series 2 Booster Pack']
Crest of Sincerity,Option,BO-102,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,crest-of-sincerity-bo-102,2024-05-27 15:14:30,,,['Series 2 Booster Pack']
Crest of Friendship,Option,BO-103,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,crest-of-friendship-bo-103,2024-05-27 15:14:30,,,['Series 2 Booster Pack']
Black Gears,Option,BO-104,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,black-gears-bo-104,2024-05-27 15:14:30,,,['Series 2 Booster Pack']
Flood,Option,BO-105,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,flood-bo-105,2024-05-27 15:14:30,,,['Series 2 Booster Pack']
Meat,Option,BO-106,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,meat-bo-106,2024-05-27 15:14:30,,,['Series 2 Booster Pack']
Waterproof,Option,BO-107,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,waterproof-bo-107,2024-05-27 15:14:30,,,['Series 2 Booster Pack']
Pluck,Option,BO-108,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,pluck-bo-108,2024-05-27 15:14:30,,,['Series 2 Booster Pack']
Veemon,Digimon,BO-109,,,,,,,Red,,Dragon,,,,Vaccine,Common,Rookie,,,,,Digimon Digi-Battle Card Game,veemon-bo-109,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Andromon,Digimon,BO-11,,,,,,,Red,,Android,,,,Vaccine,Common,Ultimate,,,,,Digimon Digi-Battle Card Game,andromon-bo-11,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
Wormmon,Digimon,BO-110,,,,,,,Yellow,,Larva,,,,Virus,Common,Rookie,,,,,Digimon Digi-Battle Card Game,wormmon-bo-110,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Hawkmon,Digimon,BO-111,,,,,,,Green,,Bird,,,,Data,Common,Rookie,,,,,Digimon Digi-Battle Card Game,hawkmon-bo-111,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Armadillomon,Digimon,BO-112,,,,,,,Red,,Mammal,,,,Vaccine,Common,Rookie,,,,,Digimon Digi-Battle Card Game,armadillomon-bo-112,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Patamon,Digimon,BO-113,,,,,,,Red,,Mammal,,,,Vaccine,Common,Rookie,,,,,Digimon Digi-Battle Card Game,patamon-bo-113,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Salamon,Digimon,BO-114,,,,,,,Green,,Mammal,,,,Vaccine,Common,Rookie,,,,,Digimon Digi-Battle Card Game,salamon-bo-114,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Agumon,Digimon,BO-115,,,,,,,Yellow,,Reptile,,,,Virus,Common,Rookie,,,,,Digimon Digi-Battle Card Game,agumon-bo-115,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Gabumon,Digimon,BO-116,,,,,,,Yellow,,Reptile,,,,Virus,Common,Rookie,,,,,Digimon Digi-Battle Card Game,gabumon-bo-116,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
ToyAgumon,Digimon,BO-117,,,,,,,Yellow,,Puppet,,,,Virus,Common,Rookie,,,,,Digimon Digi-Battle Card Game,toyagumon-bo-117,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
ExVeemon,Digimon,BO-118,,,,,,,Red,,Mythical Dragon,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,exveemon-bo-118,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Stingmon,Digimon,BO-119,,,,,,,Yellow,,Insectoid,,,,Virus,Common,Champion,,,,,Digimon Digi-Battle Card Game,stingmon-bo-119,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Monochromon,Digimon,BO-12,,,,,,,Green,,Dinosaur,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,monochromon-bo-12,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
Raidramon,Digimon,BO-120,,,,,,,Red,,Animal,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,raidramon-bo-120,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Veedramon,Digimon,BO-121,,,,,,,Red,,Mythical Dragon,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,veedramon-bo-121,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Flamedramon,Digimon,BO-122,,,,,,,Red,,Dragon,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,flamedramon-bo-122,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Halsemon,Digimon,BO-123,,,,,,,Green,,Animal,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,halsemon-bo-123,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Shurimon,Digimon,BO-124,,,,,,,Green,,Mutant,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,shurimon-bo-124,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Yasyamon,Digimon,BO-125,,,,,,,Red,,Wizard,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,yasyamon-bo-125,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Submarimon,Digimon,BO-126,,,,,,,Green,,Sea Animal,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,submarimon-bo-126,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Pegasusmon,Digimon,BO-127,,,,,,,Red,,Animal,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,pegasusmon-bo-127,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Angemon,Digimon,BO-128,,,,,,,Yellow,,Angel,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,angemon-bo-128,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Gatomon,Digimon,BO-129,,,,,,,Green,,Animal,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,gatomon-bo-129,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Kuwagamon,Digimon,BO-13,,,,,,,Yellow,,Insectoid,,,,Virus,Common,Champion,,,,,Digimon Digi-Battle Card Game,kuwagamon-bo-13,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
Nefertimon,Digimon,BO-130,,,,,,,Red,,Animal,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,nefertimon-bo-130,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Togemogumon,Digimon,BO-131,,,,,,,Yellow,,Mammal,,,,Virus,Common,Champion,,,,,Digimon Digi-Battle Card Game,togemogumon-bo-131,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Digmon,Digimon,BO-132,,,,,,,Red,,Insectoid,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,digmon-bo-132,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Aurumon,Digimon,BO-133,,,,,,,Yellow,,Bird,,,,Virus,Common,Champion,,,,,Digimon Digi-Battle Card Game,aurumon-bo-133,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Shadramon,Digimon,BO-134,,,,,,,Green,,Insectoid,,,,Virus,Common,Champion,,,,,Digimon Digi-Battle Card Game,shadramon-bo-134,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Greymon,Digimon,BO-135,,,,,,,Yellow,,Dinosaur,,,,Virus,Common,Champion,,,,,Digimon Digi-Battle Card Game,greymon-bo-135,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Garurumon,Digimon,BO-136,,,,,,,Yellow,,Animal,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,garurumon-bo-136,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Tyrannomon,Digimon,BO-137,,,,,,,Green,,Dinosaur,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,tyrannomon-bo-137,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Airdramon,Digimon,BO-138,,,,,,,Green,,Mythical Animal,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,airdramon-bo-138,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Darkrizamon,Digimon,BO-139,,,,,,,Red,,Dark Dragon,,,,Virus,Common,Champion,,,,,Digimon Digi-Battle Card Game,darkrizamon-bo-139,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Mojyamon,Digimon,BO-14,,,,,,,Red,,Rare Animal,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,mojyamon-bo-14,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
Deltamon,Digimon,BO-140,,,,,,,Red,,Composition,,,,Virus,Common,Champion,,,,,Digimon Digi-Battle Card Game,deltamon-bo-140,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Dokugumon,Digimon,BO-141,,,,,,,Red,,Insectoid,,,,Virus,Common,Champion,,,,,Digimon Digi-Battle Card Game,dokugumon-bo-141,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
MagnaAngemon,Digimon,BO-142,,,,,,,Yellow,,Angel,,,,Vaccine,Common,Ultimate,,,,,Digimon Digi-Battle Card Game,magnaangemon-bo-142,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
MetalGreymon,Digimon,BO-143,,,,,,,Yellow,,Android,,,,Virus,Common,Ultimate,,,,,Digimon Digi-Battle Card Game,metalgreymon-bo-143,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
WereGarurumon,Digimon,BO-144,,,,,,,Yellow,,Animal,,,,Virus,Common,Ultimate,,,,,Digimon Digi-Battle Card Game,weregarurumon-bo-144,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
MetalTyrannomon,Digimon,BO-145,,,,,,,Red,,Android,,,,Virus,Common,Ultimate,,,,,Digimon Digi-Battle Card Game,metaltyrannomon-bo-145,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
MegaSeadramon,Digimon,BO-146,,,,,,,Red,,Sea Animal,,,,Data,Common,Ultimate,,,,,Digimon Digi-Battle Card Game,megaseadramon-bo-146,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Mammothmon,Digimon,BO-147,,,,,,,Green,,Ancient Animal,,,,Vaccine,Common,Ultimate,,,,,Digimon Digi-Battle Card Game,mammothmon-bo-147,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
WarGreymon,Digimon,BO-148,,,,,,,Yellow,,Dragon,,,,Virus,Common,Mega,,,,,Digimon Digi-Battle Card Game,wargreymon-bo-148,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
MetalGarurumon,Digimon,BO-149,,,,,,,Yellow,,Android,,,,Virus,Common,Mega,,,,,Digimon Digi-Battle Card Game,metalgarurumon-bo-149,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Gatomon,Digimon,BO-15,,,,,,,Red,,Animal,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,gatomon-bo-15,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
Seraphimon,Digimon,BO-150,,,,,,,Yellow,,Angel,,,,Vaccine,Common,Mega,,,,,Digimon Digi-Battle Card Game,seraphimon-bo-150,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Bucchiemon,Digimon,BO-151,,,,,,,Yellow,,Pixie,,,,Virus,Common,Champion,,,,,Digimon Digi-Battle Card Game,bucchiemon-bo-151,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Digi-Egg of Courage,Option,BO-152,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,digi-egg-of-courage-bo-152,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Digi-Egg of Friendship,Option,BO-153,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,digi-egg-of-friendship-bo-153,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Digi-Egg of Love,Option,BO-154,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,digi-egg-of-love-bo-154,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Digi-Egg of Sincerity,Option,BO-155,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,digi-egg-of-sincerity-bo-155,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Digi-Egg of Knowledge,Option,BO-156,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,digi-egg-of-knowledge-bo-156,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Digi-Egg of Reliability,Option,BO-157,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,digi-egg-of-reliability-bo-157,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Digi-Egg of Light,Option,BO-158,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,digi-egg-of-light-bo-158,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Digi-Egg of Hope,Option,BO-159,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,digi-egg-of-hope-bo-159,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Angewomon,Digimon,BO-16,,,,,,,Red,,Angel,,,,Vaccine,Common,Ultimate,,,,,Digimon Digi-Battle Card Game,angewomon-bo-16,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
Digi-Egg of Destiny,Option,BO-160,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,digi-egg-of-destiny-bo-160,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Digi-Egg of Miracles,Option,BO-161,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,digi-egg-of-miracles-bo-161,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Digi-Egg of Kindness,Option,BO-162,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,digi-egg-of-kindness-bo-162,2024-05-27 15:14:30,,,['Series 3 Booster Pack']
Guilmon,Digimon,BO-163,,,,,,,Red,,Reptile,,,,Virus,Common,Rookie,,,,,Digimon Digi-Battle Card Game,guilmon-bo-163,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Growlmon,Digimon,BO-164,,,,,,,Green,,Dark Dragon,,,,Virus,Common,Champion,,,,,Digimon Digi-Battle Card Game,growlmon-bo-164,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
WarGrowlmon,Digimon,BO-165,,,,,,,Green,,Android,,,,Virus,Common,Ultimate,,,,,Digimon Digi-Battle Card Game,wargrowlmon-bo-165,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Terriermon,Digimon,BO-166,,,,,,,Green,,Animal,,,,Vaccine,Common,Rookie,,,,,Digimon Digi-Battle Card Game,terriermon-bo-166,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Gargomon,Digimon,BO-167,,,,,,,Yellow,,Animal,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,gargomon-bo-167,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Rapidmon,Digimon,BO-168,,,,,,,Green,,Android,,,,Vaccine,Common,Ultimate,,,,,Digimon Digi-Battle Card Game,rapidmon-bo-168,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Renamon,Digimon,BO-169,,,,,,,Yellow,,Animal,,,,Data,Common,Rookie,,,,,Digimon Digi-Battle Card Game,renamon-bo-169,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Magnadramon,Digimon,BO-17,,,,,,,Red,,Holy Dragon,,,,Vaccine,Common,Mega,,,,,Digimon Digi-Battle Card Game,magnadramon-bo-17,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
Kyubimon,Digimon,BO-170,,,,,,,Red,,Mythical Animal,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,kyubimon-bo-170,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Taomon,Digimon,BO-171,,,,,,,Green,,Wizard,,,,Data,Common,Ultimate,,,,,Digimon Digi-Battle Card Game,taomon-bo-171,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Paildramon,Digimon,BO-172,,,,,,,Red,,Dragon,,,,Data,Common,Ultimate,,,,,Digimon Digi-Battle Card Game,paildramon-bo-172,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Imperialdramon (Dragon Mode),Digimon,BO-173,,,,,,,Green,,Ancient Dragon,,,,Vaccine,Common,Mega,,,,,Digimon Digi-Battle Card Game,imperialdramon-dragon-mode-bo-173,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Imperialdramon (Fighter Mode),Digimon,BO-174,,,,,,,Red,,Ancient Dragon,,,,Vaccine,Common,Mega,,,,,Digimon Digi-Battle Card Game,imperialdramon-fighter-mode-bo-174,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Aquilamon,Digimon,BO-175,,,,,,,Green,,Bird,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,aquilamon-bo-175,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Silphymon,Digimon,BO-176,,,,,,,Green,,Animal,,,,Data,Common,Ultimate,,,,,Digimon Digi-Battle Card Game,silphymon-bo-176,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Valkyrimon,Digimon,BO-177,,,,,,,Red,,Warrior,,,,Vaccine,Common,Mega,,,,,Digimon Digi-Battle Card Game,valkyrimon-bo-177,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Ankylomon,Digimon,BO-178,,,,,,,Red,,Dinosaur,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,ankylomon-bo-178,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Shakkoumon,Digimon,BO-179,,,,,,,Red,,Mutant,,,,Data,Common,Ultimate,,,,,Digimon Digi-Battle Card Game,shakkoumon-bo-179,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Ebidramon,Digimon,BO-18,,,,,,,Green,,Sea Animal,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,ebidramon-bo-18,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
Vikemon,Digimon,BO-180,,,,,,,Green,,Animal,,,,Vaccine,Common,Mega,,,,,Digimon Digi-Battle Card Game,vikemon-bo-180,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Dinobeemon,Digimon,BO-181,,,,,,,Yellow,,Mutant,,,,Virus,Common,Ultimate,,,,,Digimon Digi-Battle Card Game,dinobeemon-bo-181,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
GranKuwagamon,Digimon,BO-182,,,,,,,Red,,Insectoid,,,,Virus,Common,Mega,,,,,Digimon Digi-Battle Card Game,grankuwagamon-bo-182,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Mummymon,Digimon,BO-183,,,,,,,Green,,Ghost,,,,Virus,Common,Ultimate,,,,,Digimon Digi-Battle Card Game,mummymon-bo-183,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Arukenimon,Digimon,BO-184,,,,,,,Green,,Dark Animal,,,,Virus,Common,Ultimate,,,,,Digimon Digi-Battle Card Game,arukenimon-bo-184,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Honeybeemon,Digimon,BO-185,,,,,,,Red,,Insectoid,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,honeybeemon-bo-185,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Depthmon,Digimon,BO-186,,,,,,,Green,,Sea Animal,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,depthmon-bo-186,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Gargoylemon,Digimon,BO-187,,,,,,,Green,,Dark Animal,,,,Virus,Common,Champion,,,,,Digimon Digi-Battle Card Game,gargoylemon-bo-187,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Rinkmon,Digimon,BO-188,,,,,,,Green,,Android,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,rinkmon-bo-188,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Harpymon,Digimon,BO-189,,,,,,,Yellow,,Mythical Animal,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,harpymon-bo-189,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Gorillamon,Digimon,BO-19,,,,,,,Green,,Animal,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,gorillamon-bo-19,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
Flybeemon,Digimon,BO-190,,,,,,,Green,,Insectoid,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,flybeemon-bo-190,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Allomon,Digimon,BO-191,,,,,,,Red,,Dinosaur,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,allomon-bo-191,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Pteramon,Digimon,BO-192,,,,,,,Red,,Dinosaur,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,pteramon-bo-192,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Boarmon,Digimon,BO-193,,,,,,,Yellow,,Mammal,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,boarmon-bo-193,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Baromon,Digimon,BO-194,,,,,,,Green,,Wizard,,,,Virus,Common,Champion,,,,,Digimon Digi-Battle Card Game,baromon-bo-194,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Mantaraymon,Digimon,BO-195,,,,,,,Green,,Sea Animal,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,mantaraymon-bo-195,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Rhinomon,Digimon,BO-196,,,,,,,Yellow,,Mammal,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,rhinomon-bo-196,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Prairiemon,Digimon,BO-197,,,,,,,Green,,Animal,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,prairiemon-bo-197,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Stegomon,Digimon,BO-198,,,,,,,Yellow,,Dinosaur,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,stegomon-bo-198,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Tylomon,Digimon,BO-199,,,,,,,Red,,Sea Animal,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,tylomon-bo-199,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Vilemon,Digimon,BO-20,,,,,,,Yellow,,Evil,,,,Virus,Common,Champion,,,,,Digimon Digi-Battle Card Game,vilemon-bo-20,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
Lynxmon,Digimon,BO-200,,,,,,,Red,,Animal,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,lynxmon-bo-200,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Maildramon,Digimon,BO-201,,,,,,,Red,,Android,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,maildramon-bo-201,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Archelomon,Digimon,BO-202,,,,,,,Green,,Reptile,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,archelomon-bo-202,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Nohemon,Digimon,BO-203,,,,,,,Yellow,,Puppet,,,,Virus,Common,Champion,,,,,Digimon Digi-Battle Card Game,nohemon-bo-203,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Bullmon,Digimon,BO-204,,,,,,,Red,,Mammal,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,bullmon-bo-204,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Data Duplication,Option,BO-205,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,data-duplication-bo-205,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Platinum Sword,Option,BO-206,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,platinum-sword-bo-206,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
Golden Shield,Option,BO-207,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,golden-shield-bo-207,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
D-Terminal,Option,BO-208,,,,,,,Colorless,,,,,,,Common,,,,,,Digimon Digi-Battle Card Game,d-terminal-bo-208,2024-05-27 15:14:30,,,['Series 4 Booster Pack']
